App Area,Category,Method,Path,Controller,Title,Source File,Auth Type,Auth Headers,Required Headers,Optional Headers,Path Params,Query Params,Content Type,Body Type,Request Body,Validation,Success Codes,Error Codes,App Error Codes,Error Messages,Response Type,Notes
Health,Health,GET,/healthz,HealthHandler,Health Check,internal/auth/handler.go:15,HTTP Basic (Authorization: Basic <base64(user:password)>) (handler-level),,,,,,,,,,200,401,,Unauthorized,String,Liveness check for webapps-syncprocess-backend. The handler validates BASIC_AUTH_USER and BASIC_AUTH_PASSWORD even though this route is outside the Chi Basic middleware group. Success body is the plain text ok.
Sync,Sync,POST,/api/v1/sync/item-so/run,SyncItemSOHandler,Run Item SO Sync,internal/modules/sync_item_so/handler.go:28,HTTP Basic (Authorization: Basic <base64(user:password)>) (handler-level),,,,,,application/json,SyncFilter,CompanyID:String; BrandID:String; OutletID:String,,200,400; 401; 500,,"invalid JSON body; request body too large; no matching outlets for the given CompanyID, BrandID, and/or OutletID",Object,"Mirrors Sync_Item_SO. An empty body is valid and syncs all brand targets. Optional CompanyID, BrandID, and OutletID filters intersect Ms_Outlet. Request body max 16 KiB. Success JSON is {""status"":""ok""}. Request timeout is SYNC_RUN_TIMEOUT_SEC (default 3600 seconds)."
Sync,Sync,POST,/api/v1/sync/item/run,SyncItemHandler,Run Item Sync,internal/modules/sync_item/handler.go:23,HTTP Basic (Authorization: Basic <base64(user:password)>) (handler-level),,,,,,,,,,200,401; 500,,Internal Server Error,Object,"Mirrors Sync_Item. No request body. Syncs item master data from ESB MySQL into SQL Server in one transaction. Success JSON is {""status"":""ok""}. Request timeout is SYNC_RUN_TIMEOUT_SEC (default 3600 seconds)."
Sync,Sync,POST,/api/v1/sync/item-hpp/run,SyncItemHPPHandler,Run Item HPP Sync,internal/modules/sync_item_hpp/handler.go:23,HTTP Basic (Authorization: Basic <base64(user:password)>) (handler-level),,,,,,,,,,200,401; 500,,Internal Server Error,Object,"Mirrors Sync_ItemHPP. No request body. Syncs item HPP (cost) data from ESB into SQL Server. Success JSON is {""status"":""ok""}. Request timeout is SYNC_RUN_TIMEOUT_SEC (default 3600 seconds)."
Sync,Sync,POST,/api/v1/sync/asset/run,SyncAssetHandler,Run Asset Sync,internal/modules/sync_asset/handler.go:23,HTTP Basic (Authorization: Basic <base64(user:password)>) (handler-level),,,,,,,,,,200,401; 500,,Internal Server Error,Object,"Mirrors the asset sync job. No request body. Syncs item categories and assets from ESB into SQL Server. Success JSON is {""status"":""ok""}. Request timeout is SYNC_RUN_TIMEOUT_SEC (default 3600 seconds)."
Sync,Sync,POST,/api/v1/sync/bom/run,SyncBOMHandler,Run BOM Sync,internal/modules/sync_bom/handler.go:23,HTTP Basic (Authorization: Basic <base64(user:password)>) (handler-level),,,,,,,,,,200,401; 500,,Internal Server Error,Object,"Mirrors Sync_BOM. No request body. Syncs bill of materials data. Success JSON is {""status"":""ok""}. Request timeout is SYNC_RUN_TIMEOUT_SEC (default 3600 seconds)."
Sync,Sync,POST,/api/v1/sync/esb-bom/run,SyncESBBOMHandler,Run ESB BOM Sync,internal/modules/sync_esb_bom/handler.go:28,HTTP Basic (Authorization: Basic <base64(user:password)>) (handler-level),,,,,,application/json,RunRequest,company_id:String,company_id: @NotBlank,200,400; 401; 500,,company_id is required; invalid JSON body; request body too large,Object,"Mirrors Sync_ESB_BOM for one company. company_id is required. The handler rejects an empty body. Success JSON is {""status"":""ok""}. Request body max 16 KiB. Request timeout is SYNC_RUN_TIMEOUT_SEC (default 3600 seconds)."
Sync,Sync,POST,/api/v1/sync/applicant/run,SyncApplicantHandler,Run Applicant Sync,internal/modules/sync_applicant/handler.go:23,HTTP Basic (Authorization: Basic <base64(user:password)>) (handler-level),,,,,,,,,,200,401; 500,,Internal Server Error,Object,"Mirrors Sync_Applicant. No request body. Refreshes Ms_Applicant from the Orange linked server (delete, insert, status update) without an explicit distributed transaction. Success JSON is {""status"":""ok""}. Request timeout is SYNC_RUN_TIMEOUT_SEC (default 3600 seconds)."
Sync,Sync,POST,/api/v1/sync/employee/run,SyncEmployeeHandler,Run Employee Sync,internal/modules/sync_employee/handler.go:23,HTTP Basic (Authorization: Basic <base64(user:password)>) (handler-level),,,,,,,,,,200,401; 500,,Internal Server Error,Object,"Mirrors the employee sync job. No request body. Upserts organization, department, position, employee, contact, and work-location master data in one transaction. Success JSON is {""status"":""ok""}. Request timeout is SYNC_RUN_TIMEOUT_SEC (default 3600 seconds)."
Sync,Sync,POST,/api/v1/sync/sales/run,SyncSalesHandler,Run Sales Sync,internal/modules/sync_sales/handler.go:23,HTTP Basic (Authorization: Basic <base64(user:password)>) (handler-level),,,,,,,,,,200,401; 500,,Internal Server Error,Object,"Mirrors Sync_Sales. No request body. Deletes recent Trx_SalesSummary rows and inserts from BogaDW in one transaction. Success JSON is {""status"":""ok""}. Request timeout is SYNC_RUN_TIMEOUT_SEC (default 3600 seconds)."
