app_area,section,http_method,path,controller,operation,source,authorization,auth_headers,required_headers,optional_headers,path_parameters,query_parameters,content_type,body_type,request_payload,validation_rules,success_http_codes,error_http_codes,application_error_codes,error_messages,response_type,documentation_notes
"Health","Health","GET","/","LandingHandler","Landing Page","internal/httpserver/router.go:30","None declared at handler; method is permitAll in SecurityConfig","","","","","","","","","","200","","","","String","Public HTML landing page. Returns the API title, version, and APP_ENV. No authentication."
"Health","Health","GET","/health","HealthHandler","Health Check","internal/httpserver/router.go:60","HTTP Basic (Authorization: Basic <base64(user:password)>) (handler-level)","","","","","","","","","","200","401","","unauthorized","Object","Liveness check. Requires API_AUTH_USER_ID and API_AUTH_PASSWORD. Success JSON is {""status"":""ok""}."
"Authentication","Authentication","POST","/api/v1/auth/token","AuthHandler","Issue Token","internal/auth/handler.go:37","HTTP Basic (Authorization: Basic <base64(user:password)>) (handler-level)","","","","","","application/json","tokenRequest","UserAD:String","","200","400; 401; 413; 500","","unauthorized; invalid json; body too large; token error","Object","Exchanges HTTP Basic credentials for a Bearer JWT. Optional UserAD is stored on the token; when omitted the subject is API_AUTH_USER_ID. Success JSON includes token, type Bearer, and expiresAt. Then send Authorization: Bearer <access_token> to report and budgeting routes."
"Authentication","Authentication","GET","/api/v1/auth/check","AuthHandler","Check Token","internal/auth/handler.go:83","Bearer JWT (Authorization: Bearer <token>) (handler-level)","","","","","","","","","","200","401","","invalid or expired token","Object","Validates a Bearer JWT from Issue Token. Success JSON includes valid, type, issuer, and expiresAt."
"Admin","Admin","POST","/api/v1/admin/audit-log/purge-stale","AuditAdminHandler","Purge Stale Audit Logs","internal/audit/admin.go:12","API/client/secret key (handler-level)","X-Admin-Key","X-Admin-Key","","","","","","","","200","401; 500; 503","","unauthorized; audit admin not configured; purge failed","Object","Deletes api_audit_budgeting_log rows older than two months. Requires header X-Admin-Key equal to AUDIT_ADMIN_KEY. No JWT or Basic Auth. No request body. Success JSON is {""deleted"":<count>}. Returns 503 when AUDIT_ADMIN_KEY is not configured."
"Reports","Reports","POST","/api/v1/reports/non-mpp","ReportNonMPPHandler","Generate Non MPP Report","internal/modules/report_non_mpp/process/handler.go:23","Bearer JWT (Authorization: Bearer <token>) (handler-level)","","","","","","application/json","reportRequestJSON","period:String; closing_month:Integer; outlet_id:String; company_id:String; department_id:String; brand_id:String","closing_month: @NotNull","200","400; 401; 413; 500","","closing_month required; invalid json; body too large; missing bearer token; invalid token","Object","Outlet-scoped non-MPP budget report. closing_month is required (1-12). Optional filters: period, outlet_id, company_id, department_id, brand_id. Success envelope is {""IsError"":false,""Status"":""Success"",""Data"":{""lines"":...}}."
"Reports","Reports","POST","/api/v1/reports/non-mpp-bin","ReportNonMPPBINHandler","Generate Non MPP BIN Report","internal/modules/report_non_mpp_BIN/process/handler.go:23","Bearer JWT (Authorization: Bearer <token>) (handler-level)","","","","","","application/json","reportRequestJSON","period:String; closing_month:Integer; outlet_id:String; company_id:String; department_id:String; brand_id:String","closing_month: @NotNull","200","400; 401; 413; 500","","closing_month required; invalid json; body too large; missing bearer token; invalid token","Object","BIN-scoped non-MPP budget report. Same JSON body as Generate Non MPP Report. Success Data includes lines."
"Reports","Reports","POST","/api/v1/reports/non-mpp-all","ReportNonMPPAllHandler","Generate Non MPP All Report","internal/modules/report_non_mppAll/process/handler.go:23","Bearer JWT (Authorization: Bearer <token>) (handler-level)","","","","","","application/json","reportRequestJSON","period:String; closing_month:Integer; outlet_id:String; company_id:String; department_id:String; brand_id:String","closing_month: @NotNull","200","400; 401; 413; 500","","closing_month required; invalid json; body too large; missing bearer token; invalid token","Object","Consolidated non-MPP budget report. Same JSON body as Generate Non MPP Report. Success Data includes lines."
"Reports","Reports","POST","/api/v1/reports/non-mpp-pt","ReportNonMPPPTHandler","Generate Non MPP PT Report","internal/modules/report_non_mpp_PT/process/handler.go:23","Bearer JWT (Authorization: Bearer <token>) (handler-level)","","","","","","application/json","reportRequestJSON","period:String; closing_month:Integer; outlet_id:String; company_id:String; department_id:String; brand_id:String","closing_month: @NotNull","200","400; 401; 413; 500","","closing_month required; invalid json; body too large; missing bearer token; invalid token","Object","PT-scoped non-MPP budget report. Same JSON body as Generate Non MPP Report. Path /api/v1/reports/non-mpp-PT is an alias for the same handler."
"Reports","Reports","POST","/api/v1/reports/non-mpp-PT","ReportNonMPPPTHandler","Generate Non MPP PT Report Alias","internal/modules/report_non_mpp_PT/process/handler.go:23","Bearer JWT (Authorization: Bearer <token>) (handler-level)","","","","","","application/json","reportRequestJSON","period:String; closing_month:Integer; outlet_id:String; company_id:String; department_id:String; brand_id:String","closing_month: @NotNull","200","400; 401; 413; 500","","closing_month required; invalid json; body too large; missing bearer token; invalid token","Object","Alias of Generate Non MPP PT Report. Same handler and JSON body as POST /api/v1/reports/non-mpp-pt."
"Reports","Reports","POST","/api/v1/reports/non-mpp-dept","ReportNonMPPDeptHandler","Generate Non MPP Department Report","internal/modules/report_non_mpp_dept/process/handler.go:23","Bearer JWT (Authorization: Bearer <token>) (handler-level)","","","","","","application/json","reportRequestJSON","period:String; closing_month:Integer; outlet_id:String; company_id:String; department_id:String; brand_id:String","closing_month: @NotNull","200","400; 401; 413; 500","","closing_month required; invalid json; body too large; missing bearer token; invalid token","Object","Department-scoped non-MPP budget report. Same JSON body as Generate Non MPP Report. Success Data includes lines."
